86.642,4.002
46.46,9.559
604.236,13.347
210.232,22.617
465.033,38.163
377.57,61.316
497.058,69.568
443.792,71.119
348.245,73.07
469.712,72.799
485.601,85.748
329.302,84.448
558.302,94.843
19.264,95.909
463.109,97.02
53.573,109.957
347.506,106.156
354.062,106.894
48.096,115.42
341.185,116.769
69.828,118.4
56.208,128.752
493.168,126.886
480.4,127.476
75.669,131.713
385.24,128.598
495.922,129.933
583.745,131.305
50.382,133.91
589.354,133.849
31.3,133.936
342.408,135.813
76.132,137.081
326.637,135.668
51.65,143.075
31.565,137.973
550.319,138.797
102.48,140.539
386.242,141.107
552.143,142.598
411.179,143.143
412.553,148.116
88.485,146.242
479.279,144.491
500.313,147.187
331.642,149.055
382.051,148.65
52.178,152.738
41.938,152.907
79.395,152.617
357.809,153.808
345.372,155.76
482.373,156.293
479.242,156.539
40.181,156.824
60.031,163.329
35.749,165.199
375.978,165.695
595.123,169.748
539.632,184.541
55.226,172.76
332.017,173.586
58.29,173.857
62.253,176.207
34.088,178.659
32.377,180.292
469.917,186.79
427.194,181.991
43.33,189.727
79.997,190.625
383.054,190.645
447.837,192.566
34.635,193.127
439.214,191.894
353.679,194.151
416.5,195.044
43.796,194.405
444.327,197.27
436.213,195.289
49.134,195.757
52.073,196.528
44.351,197.057
432.348,199.559
79.77,202.875
329.335,200.339
518.156,211.177
310.715,204.336
429.185,205.399
509.451,205.705
560.604,206.915
514.427,205.864
355.648,208.682
428.841,210.367
80.129,212.044
70.385,212.139
323.426,213.622
554.233,215.488
335.074,216.331
442.631,219.244
78.147,218.53
562.049,219.322
559.884,220.068
406.002,221.186
543.013,236.218
28.163,224.752
76.475,227.555
68.376,229.992
473.178,229.587
36.766,231.245
28.455,231.499
163.494,236.175
29.117,234.787
64.309,234.752
455.287,237.945
31.623,238.045
295.519,238.709
345.844,240.415
421.718,248.568
33.566,242.937
431.649,245.013
417.379,244.693
496.823,244.624
527.061,244.933
82.064,245.74
492.317,246.314
489.45,268.072
33.714,248.3
505.135,248.167
535.063,248.603
83.55,249.389
531.187,252.464
513.522,252.272
462.507,252.393
481.662,253.475
506.824,253.275
585.92,253.05
469.333,252.316
33.595,253.314
524.202,253.557
553.695,254.835
561.958,255.96
441.207,256.308
512.321,254.484
531.568,255.584
477.241,258.994
417.828,265.245
528.905,258.392
549.425,258.656
568.901,259.934
327.694,259.755
51.685,259.195
82.633,261.87
377.816,259.686
534.942,261.496
466.996,265.5
468.524,261.893
524.416,262.242
53.959,261.893
430.734,263.981
423.932,264.926
455.201,267.894
52.956,265.285
448.919,266.691
430.75,267.094
